url;perfume;brand;country;gender;rating value;rating count;year;top;middle;base;perfumer1;perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5;image_url
https://www.fragrantica.com/perfume/oriflame/party-queen-15714.html;party-queen;oriflame;Sweden;women;3.44;100;2012.0;lemon, pepper, bay leaf;honey, grapes, rose;vanila;unknown;;honey;fresh spicy;sweet;citrus;fruity;https://fimgs.net/mdimg/perfume-thumbs/375x500.15714.jpg
https://www.fragrantica.com/perfume/hollister/wave-2-for-her-44906.html;wave-2-for-her;hollister;USA;women;3.44;283;2017.0;coconut nectar, peach, mandarin orange;tiare flower, water lily, pink freesia;sand, driftwood, orchid;unknown;;sweet;white floral;fruity;coconut;floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.44906.jpg
https://www.fragrantica.com/perfume/dzintars/ligo-svetku-ligo-holiday-20377.html;ligo-svetku-ligo-holiday;dzintars;Latvia;men;3.44;32;2010.0;grass, orange, lemon;lavender, heliotrope, oak;amber, vetiver, nutmeg;unknown;;green;aromatic;fresh spicy;fresh;woody;https://fimgs.net/mdimg/perfume-thumbs/375x500.20377.jpg
https://www.fragrantica.com/perfume/banana-republic/modern-woman-29898.html;modern-woman;banana-republic;USA;women;3.44;115;2014.0;apple, bergamot, water lily, white peach;rose, cyclamen, jasmine;musk, patchouli, amber, madagascar vanilla;jérôme epinette;;floral;fruity;fresh;citrus;rose;https://fimgs.net/mdimg/perfume-thumbs/375x500.29898.jpg
https://www.fragrantica.com/perfume/antonio-banderas/her-secret-15291.html;her-secret;antonio-banderas;USA;women;3.44;837;2012.0;wild strawberry, bitter orange blossom, grapefruit;jasmine, tuberose;cedar, vanilla, benzoin;sonia constant;;woody;fruity;vanilla;sweet;white floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.15291.jpg
https://www.fragrantica.com/perfume/amyi/amyi-iv-60771.html;amyi-iv;amyi;Brazil;women;3.44;39;2019.0;raspberry, bergamot, sicilian lemon;violet, rose, orange blossom;musk, vanilla, sandalwood;cleber bozzi;;violet;powdery;fruity;sweet;floral;https://fimgs.net/mdimg/perfume-thumbs/375x500.60771.jpg
https://www.fragrantica.com/perfume/bi-es/pink-pearl-30393.html;pink-pearl;bi-es;Poland;women;3.44;64;;peach, bergamot;rose, lily-of-the-valley;patchouli, vanilla;unknown;;patchouli;rose;fruity;vanilla;woody;https://fimgs.net/mdimg/perfume-thumbs/375x500.30393.jpg
https://www.fragrantica.com/perfume/brocard/modern-classic-32141.html;modern-classic;brocard;Russia;women;3.44;68;2015.0;black currant, citruses;praline, orange blossom, pear;vanilla, woody notes, musk;unknown;;sweet;vanilla;fruity;woody;citrus;https://fimgs.net/mdimg/perfume-thumbs/375x500.32141.jpg
https://www.fragrantica.com/perfume/brocard/pink-taxi-night-club-43051.html;pink-taxi-night-club;brocard;Russia;women;3.44;39;2011.0;cherry, raspberry, mandarin orange;marshmallow, vanilla, orchid, gardenia;leather, oak, musk, sandalwood;unknown;;sweet;fruity;powdery;leather;cherry;https://fimgs.net/mdimg/perfume-thumbs/375x500.43051.jpg
https://www.fragrantica.com/perfume/brocard/wonderland-81666.html;wonderland;brocard;Russia;women;3.44;36;2023.0;aquatic notes, cardamom, mandarin orange;whipped cream, jasmine sambac, gardenia, mango;musk, hazelnut, sandalwood;unknown;;white floral;sweet;lactonic;aromatic;marine;https://fimgs.net/mdimg/perfume-thumbs/375x500.81666.jpg
